status,url,source_site,company,role,location
"pending","https://job-boards.greenhouse.io/2k/jobs/7809858003","job-boards.greenhouse.io","2K","Localization Language Lead, Arabic","Remote"
"pending","https://job-boards.greenhouse.io/xai/jobs/5090171007","job-boards.greenhouse.io","xAI (SpaceXAI)","AI Tutor - Arabic","Remote"
"pending","https://job-boards.greenhouse.io/aplayers/jobs/5362909004","job-boards.greenhouse.io","CreatorGlobal (MrBeast)","Language Coordinator - Open Application","Remote"
"pending","https://job-boards.greenhouse.io/kayak/jobs/5709804002","job-boards.greenhouse.io","KAYAK","Freelance Localization Specialist","Remote"
"pending","https://job-boards.greenhouse.io/wppmedia/jobs/5189276008","job-boards.greenhouse.io","WPP Media","Copywriter (Arabic & English)","Cairo, Egypt"
"pending","https://4dayweek.io/job/senior-data-analyst-at-oak-national-academy-41c852ae","4dayweek.io","Oak National Academy","Senior Data Analyst","United Kingdom, Remote"
"pending","https://www.workingnomads.com/job/go/1821504/","workingnomads.com","Peroptyx","Data Analyst (No Experience Required)","Belgium"
"pending","https://www.workingnomads.com/job/go/1799726/","workingnomads.com","Polly English","Looking For Online ESL Teachers - Remote- Joining Rewards of up to USD $100","North America"
"pending","https://himalayas.app/companies/brighty-app/jobs/data-analyst","himalayas.app","Brighty App","Data Analyst","posted: 2026-08-30"
"pending","https://himalayas.app/companies/rws-group/jobs/audio-transcription-tagalog-philippines","himalayas.app","RWS Group","Audio Transcription - Tagalog (Philippines)","posted: 2026-09-01"
"pending","https://nodesk.co/remote-jobs/chess-com-tamil-translator/","nodesk.co","Chess.com","Tamil Translator","posted: 2026-09-01"
"pending","https://jobicy.com/jobs/152315-senior-data-analyst-gtm","jobicy.com","Tremendous","Senior Data Analyst, GTM","USA"
"pending","https://jobicy.com/jobs/152312-binance-acceleration-program-product-data-analyst","jobicy.com","Binance","Binance Acceleration Program - Product Data Analyst","Hong Kong"
"pending","https://jobicy.com/jobs/152307-bap-data-analyst","jobicy.com","Binance","BAP - Data Analyst","Hong Kong"
"pending","https://job-boards.greenhouse.io/scaleai/jobs/4729899005","job-boards.greenhouse.io","Scale AI","Senior Data Analyst, Public Sector","Washington, DC"
